work_code,l1,l2,l3,task_type,classification_basis,dept,owner,applied_keywords,classification_note,guidelines,related_laws
WORK-CF-602,원가(C),각종 수수료,,검증,"주차요금, 사용료 등 산정용역 등",원가분석본부,하은정 이사,"수수료, 대행수수료, 위탁수수료, 요율산정, 사용료, 인허가수수료 면허세, 검사수수료, 관리비수수료, 분담금,, 요율, 미청구, 확인서, 발급, 관리위탁, 사용료",[지방자치법 제139조(사용료)] 특정 업무 대행이나 시설 사용에 대한 대가성 요금 산정.,"각종 징수, 면제 관련 지침",
WORK-CG-711,원가(C),클레임,"법원, 중재원 감정",산정,"법원감정(공사대금 등 법원에 접수된 사건 대상으로 
진행되는 용역)",원가분석본부,하은정 이사,"법원감정, 감정신청, 소송비용, 감정료, 중재원, 분쟁조정, 기성고감정, 하자감정, 손해배상청구, 감정인, 법원, 소송, 감정, 분쟁, 중재, 판결, 사건, 청구, 기성고, 배상",[민사소송법 / 중재법] 법적 분쟁 발생 시 법원이나 중재원의 촉탁에 의해 수행하는 감정.,"건설감정 가이드북, 소송관계자를 위한 건설감정실무(박영사)",
WORK-CG-712,원가(C),클레임,"법원, 중재원 감정",검증,"법원감정(공사대금 등 법원에 접수된 사건 대상으로 
진행되는 용역)",원가분석본부,하은정 이사,"법원감정, 감정신청, 소송비용, 감정료, 중재원, 분쟁조정, 기성고감정, 하자감정, 손해배상청구, 감정인, 법원, 소송, 감정, 분쟁, 중재, 판결, 사건, 청구, 기성고, 배상",[민사소송법 / 중재법] 법적 분쟁 발생 시 법원이나 중재원의 촉탁에 의해 수행하는 감정.,"건설감정 가이드북, 소송관계자를 위한 건설감정실무(박영사)",
WORK-CG-721,원가(C),클레임,사감정,산정,,원가분석본부,하은정 이사,"사감정, 클레임검토, 의견서, 피해액산정, 추가공사비청구, 공기연장비용, 간접비청구, 손실보상, 미지급금, 계약분쟁, 클레임, 추가, 청구, 분쟁, 손실, 보상, 미지급, 검토",[건설산업기본법] 소송 전 단계나 당사자 간 합의를 위해 수행하는 사적 감정 및 비용 산정.,,
WORK-CG-722,원가(C),클레임,사감정,검증,,원가분석본부,하은정 이사,"사감정, 클레임검토, 의견서, 피해액산정, 추가공사비청구, 공기연장비용, 간접비청구, 손실보상, 미지급금, 계약분쟁, 클레임, 추가, 청구, 분쟁, 손실, 보상, 미지급, 검토",[건설산업기본법] 소송 전 단계나 당사자 간 합의를 위해 수행하는 사적 감정 및 비용 산정.,,
WORK-CG-731,원가(C),클레임,기타,산정,,원가분석본부,하은정 이사,,,,
WORK-CG-732,원가(C),클레임,기타,검증,,원가분석본부,하은정 이사,,,,
WORK-CH-801,원가(C),비교견적,,산정,,원가분석본부,하은정 이사,"비교견적, 시장가격조사, 견적대비표, 최저가비교, 가격비교, 시세조사, 견적검토, 가격적정성, 예가비교, 비교, 견적, 시장, 가격, 조사, 시세, 최저가, 대비, 거래, 실례",[예정가격작성기준(거래실례가격)] 원가계산이 곤란할 때 시장 거래 가격을 비교하여 가격을 결정.,건설공사 사업관리방식 검토기준 및 세부 수행지침,
WORK-CH-802,원가(C),비교견적,,검증,,원가분석본부,하은정 이사,"비교견적, 시장가격조사, 견적대비표, 최저가비교, 가격비교, 시세조사, 견적검토, 가격적정성, 예가비교, 비교, 견적, 시장, 가격, 조사, 시세, 최저가, 대비, 거래, 실례",[예정가격작성기준(거래실례가격)] 원가계산이 곤란할 때 시장 거래 가격을 비교하여 가격을 결정.,건설공사 사업관리방식 검토기준 및 세부 수행지침,
WORK-CI-901,원가(C),기타,,산정,,원가분석본부,하은정 이사,,,,
WORK-CI-902,원가(C),기타,,검증,,원가분석본부,하은정 이사,,,,
WORK-PA-101,연구용역(P),타당성,,산정,,학술사업본부,김창수이사,"예비타당성, 경제성분석, 재무적타당성, 출자타당성, 건립타당성, 민간위탁타당성, 공기업전환, 설립타당성, 파급효과, 타당성, 경제성, B/C, 예비, 출자, 설립, 재무, 파급, 효과, 분석, 연구용역",[지방재정법 / 지방공기업법] 사업 시행 여부 결정을 위한 정책적·경제적 분석 위주의 연구.,의뢰처의 각종 타당성 수행(표준) 지침,
WORK-PA-102,연구용역(P),타당성,,검증,,학술사업본부,김창수이사,"예비타당성, 경제성분석, 재무적타당성, 출자타당성, 건립타당성, 민간위탁타당성, 공기업전환, 설립타당성, 파급효과, 타당성, 경제성, B/C, 예비, 출자, 설립, 재무, 파급, 효과, 분석, 연구용역",[지방재정법 / 지방공기업법] 사업 시행 여부 결정을 위한 정책적·경제적 분석 위주의 연구.,의뢰처의 각종 타당성 수행(표준) 지침,
WORK-PB-201,연구용역(P),컨설팅,,산정,,학술사업본부,김창수이사,"경영진단, 조직진단, 컨설팅, 경영평가, 비전수립, 전략수립, 직무분석, 성과평가, 재무구조개선, 발전계획, 경영, 조직, 진단, 전략, 자문, 평가, 비전, 개선, 고도화 연구용역","[중소기업진흥에 관한 법률 등] 조직의 경영 효율화, 구조 개선, 전략 수립을 위한 자문형 용역.",의뢰처의 컨설팅 운영 지침,
WORK-PB-202,연구용역(P),컨설팅,,검증,,학술사업본부,김창수이사,"경영진단, 조직진단, 컨설팅, 경영평가, 비전수립, 전략수립, 직무분석, 성과평가, 재무구조개선, 발전계획, 경영, 조직, 진단, 전략, 자문, 평가, 비전, 개선, 고도화 연구용역","[중소기업진흥에 관한 법률 등] 조직의 경영 효율화, 구조 개선, 전략 수립을 위한 자문형 용역.",의뢰처의 컨설팅 운영 지침,
WORK-PC-301,연구용역(P),만족도,,산정,,학술사업본부,김창수이사,"만족도조사, 설문분석, CSI, 고객만족도, 여론조사, 인지도조사, 친절도평가, 서비스평가, 리서치, 조사분석, 만족도, 설문, 고객, 인식, 조사, 여론, 체감도, 친절도 연구용역",[통계법 / 공공기관 운영법] 서비스 이용자나 대상의 주관적 평가를 통계적으로 분석하는 용역.,의뢰처의 조사 지침,
WORK-PC-302,연구용역(P),만족도,,검증,,학술사업본부,김창수이사,"만족도조사, 설문분석, CSI, 고객만족도, 여론조사, 인지도조사, 친절도평가, 서비스평가, 리서치, 조사분석, 만족도, 설문, 고객, 인식, 조사, 여론, 체감도, 친절도 연구용역",[통계법 / 공공기관 운영법] 서비스 이용자나 대상의 주관적 평가를 통계적으로 분석하는 용역.,의뢰처의 조사 지침,
WORK-PD-901,연구용역(P),기타,,산정,,학술사업본부,김창수이사,"만족도조사, 설문분석, CSI, 고객만족도, 여론조사, 인지도조사, 친절도평가, 서비스평가, 리서치, 조사분석, 만족도, 설문, 고객, 인식, 조사, 여론, 체감도, 친절도 연구용역","순수 연구보다는 학술 행사, 교육, 콘텐츠 개발 성격의 용역.","의뢰처의 수행(운영, 조사) 지침",
WORK-PD-902,연구용역(P),기타,,검증,,학술사업본부,김창수이사,"만족도조사, 설문분석, CSI, 고객만족도, 여론조사, 인지도조사, 친절도평가, 서비스평가, 리서치, 조사분석, 만족도, 설문, 고객, 인식, 조사, 여론, 체감도, 친절도 연구용역","순수 연구보다는 학술 행사, 교육, 콘텐츠 개발 성격의 용역.","의뢰처의 수행(운영, 조사) 지침",
